,TEFF,J-H
380,15984.101,-0.1041812508106208
381,11817.293,-0.12441436553001495
382,11871.784,-0.0613926715850841
383,13071.324,-0.11246311402320863
384,11619.419,-0.048124631881714564
385,13586.704,-0.05812829828262167
386,10608.6875,-0.02769883131980677
387,12496.438999999997,-0.060382009029389394
388,19747.203,-0.08236774444580064
389,12855.341,-0.12195961880683726
390,10375.356,-0.049956520080566946
391,12047.286,-0.029297909259794253
392,13329.492,-0.06686401510238582
393,12681.448,-0.05658199262619057
394,12773.683,-0.051881752610208665
395,13331.962,-0.13048739314079327
396,12712.02,-0.10583741760254028
397,12677.787,-0.08820135450363331
398,12360.889,-0.1269949500560763
399,13409.9795,-0.11537558555603056
400,11823.162,-0.11708412837982252
401,18026.871,-0.07456169843673877
402,12386.593,-0.059479525089265906
403,10282.082,0.012160682916642074
404,13284.793,-0.05236472678184434
405,12982.993,0.05500408303737636
406,17051.557,-0.0512221487760538
407,11828.308,-0.1311399192810061
408,13020.858,-0.02563396215438729
409,12809.296,-0.01352083444595209
410,12244.869,-0.14179059243202374
411,13177.422,-0.13913278579711985
412,15002.899,-0.19009153580665306
413,11119.441,-0.055190485954282664
414,10047.488,-0.06515356922149529
415,12091.628,-0.13387121117115264
416,11371.432,-0.03282843995094353
417,12831.097,-0.08555910110473697
418,10433.778,-0.09551820063590988
419,13483.095,-0.10601391410827432
420,12357.696000000002,-0.03506492900848457
421,13073.621,-0.10076136326789964
422,12448.253,-0.02290860915184112
423,11058.292,-0.05486374139785788
424,13247.456,-0.014608223557472044
425,12200.993,-0.0634403135776509
426,12368.57,-0.06551825213432316
427,10674.211,-0.07370789623260343
428,12991.248,-0.1346985702514658
429,15002.3125,-0.14027684831619425
430,12041.472,-0.13168172931671052
431,12852.9795,-0.05035024523735032
432,13559.978,0.06847110331058559
433,13423.203,-0.21908072042465498
434,14252.768999999998,-0.09338216781616104
435,12945.338,-0.14179059243202374
436,13228.788,-0.31744823169708347
437,12678.8,-0.16992692279815635
438,13529.517,-0.0980211452245694
439,10440.58,-0.0523690024614325
440,10845.592,-0.05283908629417411
441,12981.788,-0.06028622078895651
442,12166.093,-0.05669395995140114
443,10757.77,-0.06071382355690069
444,15158.821000000002,-0.04955589079856715
445,12930.812,0.1983568580150603
446,10122.77,-0.04258953070640459
447,12438.701,-0.04615953254699612
448,12062.663,-0.035286167860030915
449,12637.937,-0.03773846244811807
450,11648.045,-0.003959077358244301
451,9583.91,-0.1162907452583326
452,12879.31,-0.05157922053337316
453,13028.137,-0.043668466329576106
454,12891.526000000002,-0.08680699729919183
455,12011.01,-0.09672720575332683
456,10252.201,-0.0467622513771051
457,11591.992,-0.11032815027236964
458,10633.462,-0.05042473578453155
459,11761.673,-0.07478408670425374
460,12643.392,-0.0684218190908421
461,9613.628,0.007534856796263867
462,9737.596,-0.025589908838270503
463,12862.857,0.25556014966964824
464,9560.363,0.018391555309296592
465,11635.983,-0.06354005312919675
466,11058.528,-0.048608184099196095
467,12492.706,-0.037738493442533994
468,9850.761,-0.03169544291496429
469,9901.032,-0.06522682547569225
470,9835.694,-0.009455099463464123
471,10947.212,-0.030397524833677636
472,10331.436,-0.073975347995761
473,12035.149,-0.07632062137126994
474,13568.704,0.057253797769545756
475,17144.498,-0.10587515974044948
476,10723.597,-0.04012814044952506
477,11645.518999999998,-0.0660964221954341
478,12883.187,-0.003276196479795601
479,10523.502,-0.022487381577493082
480,10639.057,-0.03428427362442221
481,9808.568,-0.059563433647156216
482,13505.072,0.33309859490394444
483,12550.626,-0.0026077921390541547
484,11006.015,-0.003956287860868102
485,10092.578,-0.0674868686199197
486,13054.97,-0.08314028429984965
487,15311.043,0.5154038648605326
488,10086.764,-0.04494251871109256
489,12644.168,0.389948149442672
490,9752.035,0.6906507930755605
491,12492.232,-0.001304099798204561
492,11216.513,0.020100975275038735
493,13247.501,-0.06934543156624073
494,12371.567,-0.03775874388217737
495,12474.397,-0.03266117644309574
496,11302.665,-0.06892999076843509
497,12498.355,-0.07293632864952038
498,10613.362,-0.04698428082466144
499,10058.529,-0.15989492893218937
500,13144.832,-0.0989052081108106
501,12238.454,-0.11910550689697352
502,13548.517,0.37835081577300933
503,18657.422,0.4810150923728962
504,15387.27,0.5940968523025507
505,19656.717,0.6661438266634949
506,15324.596,0.6181517797708498
507,15325.576,0.6482087076604355
508,13873.188999999997,0.5962998736873271
509,17512.27,0.6177128698825829
510,9720.839,0.005863389372825267
511,15324.278,0.6021846270561202
512,13509.021,0.6470781571939614
513,13379.75,0.5841347225904467
514,12614.593,0.3204661220312115
515,13869.467,0.39702255810797205
516,13584.174,0.3866415418386442
517,13153.347,0.33717846763133963
518,13257.55,-0.07128666925430238
519,12546.83,-0.0013574850559230356
520,12381.596,-0.04109381937980672
521,9855.732,-0.21158717489242562
522,13587.252,-0.03375050354003939
523,12468.048,-0.18815524435043507
524,12762.569,-0.17505219793319782
525,13505.818,0.0559735717773453
526,10225.062,-0.14820134592056355
527,10230.844,-0.21912298965454013
528,9841.683,-0.0799975500106811
529,12852.994,-0.05884168720245242
530,14562.717,-0.10335316371917713
531,18182.367,0.4165965857505789
532,12447.714,-0.08395983314513877
533,13013.96,-0.03774671745300395
534,12955.802,-0.18979013395309607
535,9481.731,-0.22928913974761933
536,10925.645,-0.05381264710426059
537,13539.159,0.038060497283936456
538,10691.309,-0.2181690888404848
539,10529.739,-0.23696695280075097
540,12942.038,-0.17255513429641844
541,10980.813,-0.19437186908722026
542,17736.916,-0.3030729966163612
543,9889.18,-0.24382632446289243
544,14700.241000000002,-0.16438965511322046
545,9666.706,-0.23909678936004752
546,12512.901000000002,-0.14825163412094078
547,13761.914,-0.07888222312927162
548,12491.255,-0.10295589256286597
549,13188.247,0.5120374650955206
550,12676.618,-0.0934014701843271
551,9524.399,-0.16713105487823654
552,13626.059,-0.20337341642379592
553,17708.143,0.41006356859207216
554,18106.164,0.03363481807708801
555,17715.033,0.4312829990386966
556,19068.664,-0.10165725326538144
557,15881.695,0.7182674379348732
558,17768.863,0.6696935716494945
559,13053.502,0.331982709772884
560,15319.65,0.5840055027753124
561,13773.211,0.3967860193327084
562,19094.977,0.277812606729567
563,18596.104,0.3340551367551079
564,17903.053,0.36663271968066624
565,15897.772,0.51813454965502
566,19565.568,0.605775538921355
567,9741.049,0.21865395751595607
568,13538.5,0.6667739145606753
569,14598.188,0.3080088323727246
570,13585.844,0.6661438266634949
571,12871.898,0.5914109174013173
572,13447.65,0.4742091821432126
573,12552.688999999997,0.32842267590761054
574,19909.402,0.235835171133278
575,19808.771,0.5926511454284196
576,19820.168,0.6007855283170951
577,13728.704,0.22761467051506123
578,12563.737,0.3184549261480569
579,15304.938999999997,0.5855243515223272
580,15356.4,0.42497151200473304
581,11730.628,0.602257032617926
582,11726.935,-0.09488320851326115
583,19182.025,0.0677974545955653
584,10976.95,-0.1836088504791249
585,19939.709,-0.11286553597450144
586,19556.018,-0.09046900343894926
587,12041.813999999997,-0.07397759580612195
588,19636.602,-0.09146092796325433
589,12716.341,-0.10802373886108363
590,19072.416,0.026376307964326884
591,14259.638,-0.10695304727554245
592,19537.725,-0.09775199866295026
593,12669.78,-0.10781962680816726
594,10780.597,-0.11634772300720186
595,18783.861,-0.12173370194435229
596,18779.074,0.27572284364700295
597,12675.766,0.4165194807052597
598,10107.372,-0.1445169916152942
599,18447.74,-0.13079439735412812
600,14241.832,-0.15814410161971892
601,12062.663,-0.17013559770584052
602,18489.35,-0.14267191433906312
603,12558.783,-0.15079240679740913
604,11824.216,-0.06071099567413363
605,9790.414,-0.13066979384421984
606,11634.635,-0.21359412908554276
607,10511.902,-0.17004962229728804
608,14269.435,-0.17365872812271022
609,13149.024,-0.07407400083542015
610,10123.508,-0.19522303962707355
611,11634.652,-0.1906498532295231
